"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.5:freetext"
"A413F733EDFCE22","Sympathie_2016-11-02T12:28:51.716Z","3A7DB8DC04","AUTOMATICALLY_ACCEPTED","125","2016.12.06 08:18:42 +0000","2016.12.06 08:18:42 +0000","2016.12.06 08:20:48 +0000","2016.12.06 08:20:48 +0000","","2016.12.06 08:20:48 +0000","2016.12.06 08:20:48 +0000","https://api.crowdee.de/v1/files/38c6a43ba83cb8cda27874ba7d450ba2","1","4","0","32"
"A3B32AAE2D35DDC","Sympathie_2016-11-02T12:28:51.716Z","3898105363","AUTOMATICALLY_ACCEPTED","44","2016.12.06 10:03:09 +0000","2016.12.06 10:03:09 +0000","2016.12.06 10:03:54 +0000","2016.12.06 10:03:54 +0000","","2016.12.06 10:03:54 +0000","2016.12.06 10:03:54 +0000","https://api.crowdee.de/v1/files/3391dc3a30acb1ab4dd0a87027d27336","1","4","0","29"
"78E21DDC1381F5D","Sympathie_2016-11-02T12:28:51.716Z","477890A379","AUTOMATICALLY_ACCEPTED","95","2016.12.06 10:15:40 +0000","2016.12.06 10:15:41 +0000","2016.12.06 10:17:16 +0000","2016.12.06 10:17:17 +0000","","2016.12.06 10:17:16 +0000","2016.12.06 10:17:16 +0000","https://api.crowdee.de/v1/files/1ce123133bd8a4516ad21ddb35c958e0","1","4","0","22"
"579B074784A6427","Sympathie_2016-11-02T12:28:51.716Z","59206F215A","AUTOMATICALLY_ACCEPTED","112","2016.12.06 10:24:42 +0000","2016.12.06 10:24:42 +0000","2016.12.06 10:26:35 +0000","2016.12.06 10:26:35 +0000","","2016.12.06 10:26:35 +0000","2016.12.06 10:26:35 +0000","https://api.crowdee.de/v1/files/ef060c168f6892baadcea40e2bb91d7d","1","4","0","27"
"DA1A8D7F7E8EEA7","Sympathie_2016-11-02T12:28:51.716Z","27FF90BBB6","AUTOMATICALLY_ACCEPTED","65","2016.12.06 11:35:59 +0000","2016.12.06 11:35:59 +0000","2016.12.06 11:37:04 +0000","2016.12.06 11:37:05 +0000","","2016.12.06 11:37:04 +0000","2016.12.06 11:37:04 +0000","https://api.crowdee.de/v1/files/bf684ede619e8dc1ada950c83d947bc8","1","4","0","18"
"E561C6FE52ECBD8","Sympathie_2016-11-02T12:28:51.716Z","0C78B20A04","AUTOMATICALLY_ACCEPTED","59","2016.12.06 13:31:11 +0000","2016.12.06 13:31:11 +0000","2016.12.06 13:32:11 +0000","2016.12.06 13:32:11 +0000","","2016.12.06 13:32:11 +0000","2016.12.06 13:32:11 +0000","https://api.crowdee.de/v1/files/b938066be3d3205d79a0da82a453b20c","1","4","1","30"
"5775A644988B7F9","Sympathie_2016-11-02T12:28:51.716Z","9495150461","AUTOMATICALLY_ACCEPTED","153","2016.12.06 13:52:21 +0000","2016.12.06 13:52:21 +0000","2016.12.06 13:54:55 +0000","2016.12.06 13:54:55 +0000","","2016.12.06 13:54:55 +0000","2016.12.06 13:54:55 +0000","https://api.crowdee.de/v1/files/2b01e78408279c9a5316f3c05a6dbd2b","1","4","1","28"
"5164D3C4B5BC6EC","Sympathie_2016-11-02T12:28:51.716Z","D37065C1B7","AUTOMATICALLY_ACCEPTED","97","2016.12.06 14:01:47 +0000","2016.12.06 14:01:47 +0000","2016.12.06 14:03:24 +0000","2016.12.06 14:03:24 +0000","","2016.12.06 14:03:24 +0000","2016.12.06 14:03:24 +0000","https://api.crowdee.de/v1/files/f3989ad022e68bb94212f45d9e06bc33","1","4","0","23"
"38570AB55515E3C","Sympathie_2016-11-02T12:28:51.716Z","C7C52D4A12","AUTOMATICALLY_ACCEPTED","78","2016.12.06 16:46:49 +0000","2016.12.06 16:46:50 +0000","2016.12.06 16:48:08 +0000","2016.12.06 16:48:08 +0000","","2016.12.06 16:48:08 +0000","2016.12.06 16:48:08 +0000","https://api.crowdee.de/v1/files/ad6c88a4fc4b5278bb1a7e4ca2363060","1","4","1","39"
"8BDD56348A7D791","Sympathie_2016-11-02T12:28:51.716Z","30322FEEC4","AUTOMATICALLY_ACCEPTED","83","2016.12.06 16:51:49 +0000","2016.12.06 16:51:49 +0000","2016.12.06 16:53:13 +0000","2016.12.06 16:53:13 +0000","","2016.12.06 16:53:13 +0000","2016.12.06 16:53:13 +0000","https://api.crowdee.de/v1/files/e435893e147a2b6cf168216994a5506a","1","4","0","26"
