"IDListener","ageListener","genderListener","filename","fileDurationMs","orderPlayed","IDSpeaker","ageSpeaker","genderSpeaker","stimulusContent","stimulusDistortion","reactionTimeLikabilityMs","durationRatingLikabilityMs","Rating_Likability"
2,28,"f","016_21_m_T_W.wav",4831,19,16,21,"m","Telefontarif","Wideband",6420,1591,18
2,28,"f","018_25_m_T_N.wav",4532,20,18,25,"m","Telefontarif","Narrowband",6031,118,69
2,28,"f","022_24_m_T_N.wav",3979,21,22,24,"m","Telefontarif","Narrowband",4186,91,79
2,28,"f","005_26_m_T_N.wav",4283,22,5,26,"m","Telefontarif","Narrowband",6046,121,32
2,28,"f","019_30_m_T_N.wav",4347,23,19,30,"m","Telefontarif","Narrowband",8006,94,45
2,28,"f","018_25_m_T_W.wav",4530,24,18,25,"m","Telefontarif","Wideband",5671,110,81
2,28,"f","030_28_m_T_W.wav",4315,25,30,28,"m","Telefontarif","Wideband",5041,92,19
2,28,"f","007_24_m_T_W.wav",3891,26,7,24,"m","Telefontarif","Wideband",5075,121,22
2,28,"f","020_31_m_T_N.wav",4069,27,20,31,"m","Telefontarif","Narrowband",4857,149,3
2,28,"f","006_22_m_T_N.wav",4375,28,6,22,"m","Telefontarif","Narrowband",5694,87,9
2,28,"f","016_21_m_T_N.wav",4819,29,16,21,"m","Telefontarif","Narrowband",5125,95,7
2,28,"f","025_25_m_T_N.wav",4275,30,25,25,"m","Telefontarif","Narrowband",5986,1308,26
2,28,"f","027_29_f_T_N.wav",4387,31,27,29,"f","Telefontarif","Narrowband",6748,102,72
2,28,"f","029_29_f_T_W.wav",4272,32,29,29,"f","Telefontarif","Wideband",7394,117,41
2,28,"f","003_33_f_T_N.wav",4265,33,3,33,"f","Telefontarif","Narrowband",5975,2927,28
2,28,"f","012_27_f_T_N.wav",4608,34,12,27,"f","Telefontarif","Narrowband",5458,1952,8
2,28,"f","001_28_f_T_W.wav",4319,35,1,28,"f","Telefontarif","Wideband",6171,102,17
2,28,"f","015_22_f_T_W.wav",4741,36,15,22,"f","Telefontarif","Wideband",6798,143,70
2,28,"f","003_33_f_T_W.wav",4278,37,3,33,"f","Telefontarif","Wideband",6131,142,22
2,28,"f","001_28_f_T_N.wav",4315,38,1,28,"f","Telefontarif","Narrowband",5549,112,19
2,28,"f","010_30_f_T_N.wav",4457,39,10,30,"f","Telefontarif","Narrowband",7713,100,25
2,28,"f","011_21_f_T_W.wav",4368,40,11,21,"f","Telefontarif","Wideband",4773,87,86
2,28,"f","011_21_f_T_N.wav",4365,41,11,21,"f","Telefontarif","Narrowband",4787,98,81
2,28,"f","008_28_f_T_N.wav",4824,42,8,28,"f","Telefontarif","Narrowband",7082,122,50
2,28,"f","009_30_f_T_W.wav",4969,43,9,30,"f","Telefontarif","Wideband",5034,112,13
2,28,"f","010_30_f_T_W.wav",4457,44,10,30,"f","Telefontarif","Wideband",5939,1823,57
2,28,"f","012_27_f_T_W.wav",4608,45,12,27,"f","Telefontarif","Wideband",2751,103,8
2,28,"f","014_34_f_T_N.wav",4749,46,14,34,"f","Telefontarif","Narrowband",5709,129,74
2,28,"f","017_29_f_T_W.wav",4349,47,17,29,"f","Telefontarif","Wideband",4870,83,75
2,28,"f","008_28_f_T_W.wav",4841,48,8,28,"f","Telefontarif","Wideband",6479,1607,80
2,28,"f","014_34_f_T_W.wav",4738,49,14,34,"f","Telefontarif","Wideband",5726,103,38
2,28,"f","013_34_f_T_W.wav",4303,50,13,34,"f","Telefontarif","Wideband",5983,112,28
2,28,"f","009_30_f_T_N.wav",4974,51,9,30,"f","Telefontarif","Narrowband",5302,96,9
2,28,"f","013_34_f_T_N.wav",4293,52,13,34,"f","Telefontarif","Narrowband",6874,102,16
2,28,"f","026_20_f_T_W.wav",4993,53,26,20,"f","Telefontarif","Wideband",3484,91,8
2,28,"f","029_29_f_T_N.wav",4253,54,29,29,"f","Telefontarif","Narrowband",4460,128,18
2,28,"f","026_20_f_T_N.wav",5015,55,26,20,"f","Telefontarif","Narrowband",3231,102,9
2,28,"f","017_29_f_T_N.wav",4350,56,17,29,"f","Telefontarif","Narrowband",6934,104,66
2,28,"f","015_22_f_T_N.wav",4743,57,15,22,"f","Telefontarif","Narrowband",7033,172,19
2,28,"f","027_29_f_T_W.wav",4375,58,27,29,"f","Telefontarif","Wideband",4512,141,82
3,33,"f","024_21_m_T_W.wav",4710,1,24,21,"m","Telefontarif","Wideband",6987,127,56
3,33,"f","022_24_m_T_W.wav",3971,2,22,24,"m","Telefontarif","Wideband",5642,114,62
3,33,"f","023_30_m_T_W.wav",4912,3,23,30,"m","Telefontarif","Wideband",6301,119,39
3,33,"f","006_22_m_T_N.wav",4368,4,6,22,"m","Telefontarif","Narrowband",6390,132,5
3,33,"f","018_25_m_T_N.wav",4547,5,18,25,"m","Telefontarif","Narrowband",7571,127,54
3,33,"f","007_24_m_T_W.wav",3889,6,7,24,"m","Telefontarif","Wideband",5213,63,81
3,33,"f","030_28_m_T_W.wav",4314,7,30,28,"m","Telefontarif","Wideband",6221,99,18
3,33,"f","016_21_m_T_W.wav",4830,8,16,21,"m","Telefontarif","Wideband",6135,152,3
3,33,"f","019_30_m_T_W.wav",4343,9,19,30,"m","Telefontarif","Wideband",6835,113,24
3,33,"f","024_21_m_T_N.wav",4659,10,24,21,"m","Telefontarif","Narrowband",9766,151,48
3,33,"f","025_25_m_T_W.wav",4262,11,25,25,"m","Telefontarif","Wideband",7029,140,36
3,33,"f","004_29_m_T_N.wav",4363,12,4,29,"m","Telefontarif","Narrowband",5932,143,1
3,33,"f","022_24_m_T_N.wav",3968,13,22,24,"m","Telefontarif","Narrowband",7374,127,69
3,33,"f","028_28_m_T_W.wav",3906,14,28,28,"m","Telefontarif","Wideband",6379,85,50
3,33,"f","021_30_m_T_W.wav",4294,15,21,30,"m","Telefontarif","Wideband",6300,120,65
3,33,"f","019_30_m_T_N.wav",4352,16,19,30,"m","Telefontarif","Narrowband",8237,-4361,9
3,33,"f","021_30_m_T_N.wav",4314,17,21,30,"m","Telefontarif","Narrowband",5991,104,64
3,33,"f","004_29_m_T_W.wav",4373,18,4,29,"m","Telefontarif","Wideband",4886,131,1
3,33,"f","016_21_m_T_N.wav",4815,19,16,21,"m","Telefontarif","Narrowband",5390,119,10
3,33,"f","005_26_m_T_N.wav",4283,20,5,26,"m","Telefontarif","Narrowband",5363,108,5
3,33,"f","018_25_m_T_W.wav",4527,21,18,25,"m","Telefontarif","Wideband",5516,104,83
3,33,"f","025_25_m_T_N.wav",4261,22,25,25,"m","Telefontarif","Narrowband",5327,127,8
3,33,"f","005_26_m_T_W.wav",4278,23,5,26,"m","Telefontarif","Wideband",5167,134,2
3,33,"f","028_28_m_T_N.wav",3921,24,28,28,"m","Telefontarif","Narrowband",6170,160,48
3,33,"f","020_31_m_T_W.wav",4068,25,20,31,"m","Telefontarif","Wideband",5201,111,7
3,33,"f","023_30_m_T_N.wav",4904,26,23,30,"m","Telefontarif","Narrowband",6461,111,59
3,33,"f","020_31_m_T_N.wav",4059,27,20,31,"m","Telefontarif","Narrowband",4948,111,58
3,33,"f","030_28_m_T_N.wav",4333,28,30,28,"m","Telefontarif","Narrowband",5053,97,8
3,33,"f","007_24_m_T_N.wav",3889,29,7,24,"m","Telefontarif","Narrowband",4859,107,73
3,33,"f","006_22_m_T_W.wav",4367,30,6,22,"m","Telefontarif","Wideband",5143,2692,0
3,33,"f","027_29_f_T_N.wav",4383,31,27,29,"f","Telefontarif","Narrowband",5455,832,63
